artist_name,track_name,track_id,track_popularity,artist_id,artist_followers,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
NEIKED,Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,80,5H6xmHXjsq98NLbEjuE29f,131644,"['dance pop', 'edm', 'pop', 'pop dance', 'scandipop', 'tropical house']",65,0.717,0.671,0.0,-5.077,0.0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,160657.0
Yeat,Monëy so big,7BbaIYAdi3pg4MGl6PHwPv,79,3qiHUAX7zY4Qnjx8TNUzVx,1389773,['pluggnb'],79,0.693,0.575,2.0,-7.633,1.0,0.0906,0.121,0.0,0.104,0.353,138.016,160052.0
Cochise,Tell Em,7nc7mlSdWYeFom84zZ8Wr8,79,46HzS7yz0c9udVwtbHk1sx,446699,"['plugg', 'pluggnb', 'viral rap']",67,0.672,0.717,5.0,-7.476,1.0,0.226,0.103,0.0,0.398,0.473,157.905,180380.0
Baby Keem,family ties (with Kendrick Lamar),7Bpx2vsWfQFBACRz4h3IqH,78,5SXuuuRpukkTvsLuUknva1,1178260,"['hip hop', 'rap']",79,0.711,0.611,1.0,-5.453,1.0,0.329,0.00575,0.0,0.231,0.144,134.14,252070.0
Tainy,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),4gzsuuZypVbxs0Af1LSZyB,85,0GM7qgcRCORpGnfcN2tCiB,1095611,"['latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'reggaeton flow', 'trap latino']",77,0.639,0.703,4.0,-6.33,0.0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,207301.0
Lil Nas X,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,85,7jVv8c5Fj3E9VhNjxT4snq,12066906,"['lgbtq+ hip hop', 'pop']",81,0.737,0.846,1.0,-4.51,0.0,0.22,0.00614,0.0,0.0486,0.546,87.981,143901.0
Morgan Wallen,7 Summers,4obHzpwGrjoTuZh2DItEMZ,74,4oUHIQIBe0LHzYfvXNW4QM,4325366,"['contemporary country', 'country']",83,0.466,0.786,0.0,-5.13,1.0,0.0328,0.417,6.1e-05,0.125,0.571,203.903,210507.0
Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,86,6eUKZXaKkcviH0Ku9w2n3V,105322954,"['pop', 'uk pop']",89,0.807,0.893,11.0,-3.745,0.0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,230747.0
Doja Cat,You Right,0k4d5YPDr1r7FX77VdqWez,82,5cj0lLjcoR7YOSnhnX0Po5,23023983,"['dance pop', 'pop']",86,0.828,0.621,8.0,-6.414,1.0,0.0565,0.0164,0.00233,0.0845,0.436,128.986,186173.0
SZA,I Hate U,5dXWFMwD7I7zXsInONVl0H,78,7tYKF4w9nC0nq9CsPZTHyP,8754479,"['pop', 'r&b', 'rap']",83,0.535,0.388,7.0,-9.805,0.0,0.155,0.507,0.0,0.11,0.412,106.703,174000.0
